date,equity,cash,holdings_value,turnover_rate
2025-10-09,1000000.0,1000000.0,-0.0,0.0
2025-10-10,1000000.0,1000000.0,-0.0,0.0
2025-10-13,1000000.0,1000000.0,-0.0,0.0
2025-10-14,1000000.0,1000000.0,-0.0,0.0
2025-10-15,1000000.0,1000000.0,-0.0,0.0
2025-10-16,1000000.0,1000000.0,-0.0,0.0
2025-10-17,1000000.0,1000000.0,-0.0,0.0
2025-10-20,1000000.0,1000000.0,-0.0,0.0
2025-10-21,1000000.0,1000000.0,-0.0,0.0
2025-10-22,1000000.0,1000000.0,-0.0,0.0
2025-10-23,1000000.0,1000000.0,-0.0,0.0
2025-10-24,1000000.0,1000000.0,-0.0,0.0
2025-10-27,1000000.0,1000000.0,-0.0,0.0
2025-10-28,1000000.0,1000000.0,-0.0,0.0
2025-10-29,1000000.0,1000000.0,-0.0,0.0
2025-10-30,1000000.0,1000000.0,-0.0,0.0
2025-10-31,1000000.0,1000000.0,-0.0,0.0
